"","TRUST_SCI_expert","TRUST_SCI_honest","TRUST_SCI_concerned","TRUST_SCI_open","TRUST_SCI_intellig","TRUST_SCI_ethical","TRUST_SCI_improve","TRUST_SCI_trans","TRUST_SCI_qualified","TRUST_SCI_sincere","TRUST_SCI_otherint","TRUST_SCI_otherviews"
"15309",4,4,4,4,5,4,4,4,5,4,4,4
"15310",4,3,5,4,5,4,5,4,4,4,5,3
"15311",3,3,3,3,3,3,3,3,3,3,3,3
"15312",3,2,2,2,5,3,2,5,5,3,4,2
"15313",3,4,4,2,4,3,4,4,4,3,4,3
"15314",5,5,5,5,5,4,5,5,5,4,5,3
"15315",4,3,4,5,5,3,4,4,NA,NA,5,4
"15316",3,3,2,4,4,1,5,2,4,1,3,1
"15317",3,4,3,4,5,4,4,3,5,4,4,4
"15318",5,4,5,5,5,4,4,4,5,4,4,4
"15319",3,3,3,3,4,4,4,4,4,4,4,4
"15320",3,2,1,1,4,3,4,4,4,3,4,1
"15321",4,4,3,2,5,3,3,3,4,4,3,3
"15322",4,4,3,2,4,4,4,3,4,3,2,3
"15323",4,3,4,4,5,4,5,5,5,3,5,5
"15324",2,3,3,4,5,4,3,3,4,3,4,4
"15325",4,3,3,3,4,3,4,4,4,4,4,4
"15326",5,3,4,4,5,4,5,4,5,4,3,3
"15327",4,5,5,5,5,5,5,5,5,5,5,5
"15328",5,5,5,5,5,5,5,5,5,5,5,5
"15329",4,2,2,2,4,4,4,4,4,4,4,4
"15330",5,4,3,2,5,2,2,2,5,4,2,2
"15331",3,2,4,4,4,4,4,4,4,4,4,4
"15332",3,3,2,3,5,2,2,3,5,2,3,1
"15333",4,3,3,4,5,3,4,4,5,3,3,4
"15334",4,4,4,4,4,4,4,4,4,4,3,3
"15335",5,5,5,4,5,5,5,5,4,4,5,4
"15336",5,5,4,3,5,5,4,4,5,4,2,2
"15337",4,4,4,3,4,3,2,3,4,4,4,3
"15338",5,5,5,4,5,5,5,5,5,5,5,4
"15339",4,4,4,3,4,3,4,4,4,4,4,4
"15340",5,4,5,3,5,4,2,3,5,4,4,3
"15341",4,3,3,3,4,3,4,4,4,4,4,4
"15342",2,3,2,2,5,3,4,4,2,2,3,2
"15343",4,4,4,3,4,4,4,4,4,4,4,4
"15344",5,4,4,4,4,4,4,3,4,4,4,5
"15345",4,3,3,1,5,3,4,3,4,4,4,3
"15346",5,4,4,3,5,3,3,3,5,4,3,3
"15347",4,4,5,4,5,4,4,4,4,4,4,4
"15348",5,4,2,2,5,4,4,4,5,4,4,4
"15349",5,5,5,5,5,4,5,4,5,5,4,4
"15350",1,1,2,2,3,1,1,1,4,3,2,2
"15351",5,5,4,4,5,4,5,5,5,5,4,4
"15352",5,1,1,3,5,2,1,1,5,2,3,3
"15353",4,3,3,3,5,3,5,4,5,3,3,3
"15354",4,4,3,4,5,4,4,4,4,4,3,3
"15355",4,2,3,3,5,4,2,4,2,2,2,2
"15356",5,4,4,5,4,4,4,3,4,3,3,5
"15357",5,5,4,5,5,5,5,5,5,5,5,5
"15358",5,2,3,1,5,2,2,2,5,1,2,2
"15359",5,5,3,4,5,4,3,3,5,3,4,4
"15360",4,4,4,4,4,4,4,4,4,4,4,4
"15361",5,3,2,4,5,2,3,2,5,2,3,4
"15362",3,4,2,2,5,4,4,4,4,4,4,4
"15363",4,2,2,1,2,2,2,1,4,4,4,3
"15364",2,3,3,2,3,3,3,3,5,4,3,2
"15365",3,2,4,5,5,3,3,3,4,3,2,4
"15366",3,4,5,5,5,5,5,5,5,5,4,5
"15367",4,4,3,4,5,3,4,4,4,4,4,4
"15368",5,3,5,3,5,4,5,4,5,5,3,4
"15369",4,5,4,4,5,5,4,5,5,5,5,5
"15370",4,4,4,4,4,4,4,4,4,4,4,4
"15371",4,4,4,4,5,4,4,4,5,5,4,4
"15372",5,4,5,5,4,4,4,4,5,4,3,4
"15373",4,3,4,5,4,4,4,3,3,3,3,4
"15374",5,5,5,4,5,4,5,5,5,5,4,4
"15375",4,3,3,4,5,3,4,4,5,3,2,2
"15376",2,3,2,1,2,3,2,4,2,4,1,1
"15377",4,4,4,3,4,4,3,4,4,4,2,2
"15378",4,3,4,4,5,4,5,4,4,3,4,4
"15379",4,4,4,4,5,4,4,4,5,4,4,2
"15380",4,4,3,4,5,4,3,5,5,4,4,2
"15381",5,4,4,5,5,3,4,3,4,3,3,3
"15382",4,3,3,3,5,3,4,3,4,3,3,3
"15383",4,3,3,3,5,5,5,5,5,5,4,4
"15384",5,2,3,4,5,2,5,3,5,2,3,2
"15385",3,3,2,2,4,3,1,2,4,1,1,3
"15386",5,4,4,3,4,3,4,4,5,5,4,4
"15387",4,3,4,4,4,4,4,3,4,3,3,4
"15388",4,3,4,4,5,3,4,4,5,5,5,4
"15389",2,3,5,5,5,5,5,5,5,5,5,5
"15390",2,2,4,2,3,2,2,2,4,4,2,2
"15391",4,4,4,4,4,4,4,4,4,3,3,3
"15392",3,3,2,1,2,2,1,2,2,2,1,2
"15393",4,4,5,4,5,4,5,3,4,4,4,3
"15394",5,4,3,4,5,3,4,3,5,4,3,3
"15395",5,5,4,4,5,4,4,4,4,4,4,4
"15396",5,4,4,2,5,4,4,2,5,3,3,4
"15397",5,4,4,5,5,4,4,4,5,4,4,4
"15398",5,4,4,4,4,4,4,4,4,4,4,3
"15399",3,3,3,3,3,3,3,3,3,3,3,3
"15400",5,4,4,3,5,4,3,4,4,4,3,3
"15401",5,4,4,5,5,4,5,2,4,4,4,5
"15402",5,5,4,5,5,4,5,4,5,4,4,4
"15403",4,3,3,2,5,3,4,3,4,3,3,3
"15404",5,3,3,5,3,4,4,3,5,3,3,3
"15405",5,4,3,4,5,3,3,4,5,4,4,5
"15406",3,5,3,5,5,4,3,4,4,4,4,4
"15407",4,3,1,1,4,3,1,3,4,3,2,3
"15408",5,4,4,5,5,4,4,5,5,5,4,3
"15409",5,3,2,3,5,3,4,3,5,3,3,2
"15410",3,4,4,2,5,4,3,4,4,4,4,4
"15411",4,4,5,4,5,5,4,4,5,4,3,3
"15412",3,3,2,1,3,2,3,1,3,3,3,3
"15413",5,4,4,4,4,4,4,4,5,4,4,4
"15414",1,2,3,3,2,5,1,2,1,3,3,2
"15415",5,3,3,2,5,4,4,2,2,3,4,3
"15416",4,4,4,4,4,3,3,4,3,3,3,4
"15417",4,4,5,4,4,5,4,4,4,4,4,4
"15418",3,3,4,4,5,4,4,4,5,4,3,3
"15419",4,3,3,2,4,4,4,4,5,4,3,3
"15420",5,3,4,4,5,4,4,4,5,4,4,4
"15421",4,3,4,3,4,4,2,3,5,3,2,3
"15422",4,4,4,4,5,4,5,4,4,4,4,3
"15423",4,4,4,3,5,4,5,4,4,4,4,3
"15424",3,3,3,3,3,1,1,2,3,1,3,1
"15425",4,5,4,4,4,4,3,4,5,4,3,3
"15426",5,3,1,4,5,5,2,2,5,4,4,2
"15427",5,5,5,4,5,5,5,5,5,5,5,5
"15428",5,3,3,4,5,3,3,3,3,3,4,5
"15429",4,3,4,3,4,3,5,4,4,4,5,4
"15430",5,4,4,3,4,4,4,5,5,5,4,4
"15431",5,5,4,4,5,4,5,4,5,4,4,4
"15432",5,5,5,4,5,5,5,5,5,5,5,4
"15433",3,2,3,5,5,4,4,3,4,2,3,2
"15434",4,4,4,4,4,4,4,4,4,4,4,4
"15435",5,4,4,4,5,4,4,4,5,4,2,4
"15436",4,4,3,2,4,4,3,4,4,4,4,4
"15437",4,4,4,4,5,4,5,5,5,5,5,5
"15438",5,3,4,4,4,2,2,2,3,3,2,2
"15439",3,3,2,3,4,4,4,3,2,4,3,4
"15440",1,2,1,2,2,1,1,1,1,1,2,1
"15441",4,4,4,5,5,4,4,2,4,3,4,4
"15442",3,4,4,4,5,4,5,5,5,4,5,5
"15443",4,4,4,3,4,4,4,4,5,4,5,5
"15444",4,2,3,2,5,3,2,2,3,2,2,2
"15445",5,5,3,3,5,3,3,3,5,3,3,3
"15446",5,4,3,1,5,3,3,4,5,3,2,3
"15447",4,3,4,3,4,3,2,4,4,3,2,2
"15448",3,2,2,3,4,3,1,3,3,4,2,2
"15449",4,4,5,5,5,4,5,5,5,4,4,5
"15450",5,5,4,3,5,4,4,3,4,3,3,4
"15451",4,3,2,2,5,4,4,2,4,2,2,2
"15452",5,5,4,5,5,3,5,5,5,4,3,5
"15453",5,5,4,5,5,4,5,4,5,5,5,4
"15454",4,4,4,4,5,5,4,4,4,4,4,4
"15455",5,4,4,5,5,4,5,4,5,3,2,1
"15456",3,3,4,2,3,3,3,3,3,3,3,3
"15457",4,4,4,3,4,3,4,4,5,4,3,3
"15458",4,2,5,4,5,4,4,5,5,4,5,5
"15459",4,3,5,3,5,4,5,5,5,4,3,2
"15460",4,4,4,3,5,4,3,4,4,4,4,4
"15461",5,4,4,5,5,5,5,5,5,5,5,5
"15462",5,4,4,4,5,4,3,3,4,4,4,3
"15463",5,5,5,5,5,5,5,5,5,5,5,4
"15464",4,4,5,5,5,5,5,5,5,5,5,5
"15465",2,3,4,2,5,3,4,4,4,4,3,2
"15466",4,4,3,3,5,4,3,4,5,4,3,3
"15467",3,4,4,2,3,4,4,4,5,4,3,3
"15468",4,3,4,2,4,3,4,4,5,4,4,2
"15469",4,3,3,4,4,3,4,4,4,4,3,3
"15470",4,5,4,4,4,4,4,4,5,4,4,4
"15471",5,3,5,5,5,4,4,4,5,4,4,4
"15472",2,2,2,2,3,3,2,3,3,2,4,2
"15473",5,5,5,5,5,5,5,5,5,5,5,5
"15474",4,2,2,3,4,2,2,4,4,2,2,2
"15475",5,5,5,5,5,5,5,5,5,5,5,5
"15476",5,4,4,4,5,4,4,4,5,4,4,4
"15477",3,4,4,4,5,5,5,4,4,5,5,5
"15478",5,5,4,5,5,5,5,5,5,5,4,4
"15479",3,3,3,2,5,4,3,2,3,3,3,2
"15480",3,2,2,3,5,3,4,4,4,2,4,2
"15481",5,4,4,3,5,4,4,5,5,4,4,3
"15482",4,4,4,4,5,3,3,3,5,4,3,4
"15483",3,3,3,3,3,3,3,3,4,3,3,2
"15484",2,2,2,2,2,2,2,3,3,2,2,2
"15485",5,4,4,4,5,4,5,4,5,4,4,5
"15486",4,3,4,2,3,4,5,2,5,4,3,2
"15487",4,3,4,5,4,3,4,4,4,3,2,4
"15488",5,3,3,4,5,3,3,2,2,2,3,3
"15489",4,3,3,3,4,3,3,3,4,3,3,3
"15490",5,3,3,3,5,5,5,3,5,3,3,4
"15491",5,4,5,4,5,4,5,4,5,4,5,5
"15492",4,3,4,3,4,4,3,3,4,3,3,3
"15493",4,4,3,3,4,3,4,3,4,4,4,3
"15494",5,3,4,5,5,4,4,4,5,3,3,4
"15495",5,3,4,4,5,4,5,4,5,4,3,4
"15496",4,4,4,3,4,3,2,2,4,2,3,3
"15497",4,4,4,5,5,4,4,4,4,4,4,1
"15498",5,5,5,5,5,5,5,5,5,5,5,5
"15499",5,4,4,4,5,4,5,4,4,4,4,3
"15500",5,4,4,4,4,4,5,4,5,4,5,4
"15501",4,3,4,3,4,3,4,3,4,3,3,3
"15502",5,3,1,3,5,1,1,1,5,3,3,1
"15503",4,4,4,4,5,4,4,4,5,5,4,4
"15504",4,4,4,4,4,3,4,4,4,4,4,3
"15505",5,5,5,4,5,4,4,4,5,5,4,4
"15506",4,4,4,3,5,4,4,4,5,4,3,2
"15507",3,3,5,4,5,5,4,5,5,5,5,4
"15508",4,4,3,3,4,4,4,3,4,4,3,3
"15509",4,4,4,5,4,4,4,4,5,4,4,4
"15510",4,4,4,3,4,3,4,4,4,4,3,3
"15511",5,4,4,4,5,4,4,4,4,4,4,4
"15512",3,3,3,3,4,3,3,3,4,1,4,3
"15513",5,4,4,4,5,4,4,4,5,4,4,4
"15514",4,3,3,2,3,4,4,2,4,2,2,2
"15515",4,4,4,4,4,4,4,4,4,4,4,4
"15516",4,5,4,4,5,5,4,5,5,4,4,3
"15517",1,1,1,1,1,1,1,1,2,1,1,1
"15518",5,5,4,4,4,4,4,4,4,4,4,4
"15519",5,5,3,3,5,5,4,3,5,5,3,2
"15520",3,3,4,3,3,3,4,4,3,4,4,3
"15521",2,3,4,4,4,3,4,3,4,4,4,4
"15522",4,4,5,4,4,4,4,5,4,4,4,4
"15523",5,3,4,3,5,3,4,4,5,3,3,3
"15524",4,5,4,4,1,5,5,5,5,5,4,4
"15525",5,5,5,5,5,3,5,5,5,5,4,4
"15526",3,3,3,3,4,3,3,3,3,3,3,2
"15527",2,4,2,4,4,4,4,4,2,4,4,4
"15528",5,5,5,4,5,5,5,5,5,5,4,3
"15529",5,5,5,5,5,5,5,5,5,5,5,5
"15530",4,5,5,4,5,4,5,4,4,4,5,4
"15531",3,3,2,1,3,3,2,3,4,3,3,2
"15532",4,4,3,3,4,3,4,4,3,3,4,3
"15533",5,5,5,5,5,5,5,5,5,5,5,5
"15534",4,1,1,1,3,1,1,1,3,2,2,2
"15535",4,5,4,5,5,4,4,3,3,4,3,2
"15536",5,4,4,3,4,4,4,4,5,3,3,2
"15537",4,4,4,3,5,3,4,3,2,3,3,2
"15538",1,5,4,4,5,4,4,4,4,4,4,3
"15539",5,4,4,4,5,5,5,5,5,5,4,4
"15540",2,1,1,2,1,5,1,4,2,1,1,1
"15541",4,5,4,4,5,5,4,4,5,4,4,4
"15542",2,4,4,4,1,5,4,4,1,4,3,2
"15543",3,4,4,3,5,4,5,4,5,4,4,5
"15544",5,5,4,4,5,4,4,4,5,4,4,4
"15545",5,4,5,4,5,4,4,4,5,4,4,2
"15546",4,3,3,4,5,3,3,3,5,3,3,3
"15547",4,5,4,4,5,4,4,4,5,5,4,2
"15548",4,3,2,3,4,3,2,2,4,2,3,2
"15549",4,4,4,3,4,4,4,4,4,3,4,4
"15550",4,3,4,3,5,5,4,5,5,4,4,4
"15551",2,2,2,2,4,2,3,2,3,2,3,2
"15552",4,5,4,4,5,5,4,4,5,5,3,3
"15553",5,5,4,4,4,4,4,4,4,4,4,4
"15554",4,4,2,2,4,4,2,2,4,4,3,3
"15555",5,5,4,4,5,5,4,4,5,5,4,4
"15556",3,3,4,3,5,3,4,1,4,3,3,4
"15557",3,3,2,4,4,3,2,2,2,3,2,2
"15558",3,3,3,3,4,4,4,3,3,3,3,3
"15559",4,3,4,3,5,4,4,2,5,4,4,4
"15560",5,3,3,4,4,2,4,3,5,3,4,4
"15561",2,3,4,2,3,3,4,2,2,2,2,2
"15562",5,5,5,4,5,5,5,5,5,5,5,3
"15563",5,5,5,5,5,5,5,5,5,5,5,5
"15564",4,5,5,4,5,4,5,4,4,4,5,4
"15565",4,4,2,3,5,2,2,4,2,3,3,2
"15566",4,5,4,4,5,4,4,4,4,4,4,4
"15567",1,5,5,5,5,5,5,5,5,5,5,5
"15568",4,5,5,5,5,4,5,3,5,3,4,4
"15569",4,4,4,3,4,4,4,4,4,4,3,4
"15570",4,3,3,3,4,3,4,3,3,2,3,2
"15571",4,4,4,4,4,4,4,4,4,4,4,4
"15572",4,4,4,4,4,3,4,4,4,4,4,5
"15573",5,3,4,3,5,4,3,3,4,3,3,2
"15574",5,3,2,1,5,3,1,1,3,2,1,1
"15575",3,2,2,2,5,4,3,2,4,4,4,3
"15576",4,4,5,4,4,5,4,4,4,5,4,4
"15577",4,4,NA,4,4,4,4,4,4,4,4,4
"15578",3,2,2,3,4,3,3,2,3,3,3,3
"15579",3,3,3,3,3,3,2,2,3,3,3,2
"15580",4,4,4,3,4,3,4,4,4,3,3,3
"15581",3,3,4,3,3,3,4,3,3,4,3,3
"15582",4,5,3,3,4,3,2,3,3,4,3,3
"15583",2,3,3,2,4,2,3,4,3,4,4,4
"15584",4,4,4,3,4,3,3,3,3,3,3,3
"15585",5,5,5,5,5,5,5,4,5,5,4,5
"15586",4,4,4,2,5,4,3,2,4,4,3,3
"15587",4,2,2,3,5,2,2,1,2,2,2,3
"15588",4,3,5,3,4,4,3,4,3,3,3,4
"15589",4,4,3,3,4,3,3,3,4,3,3,4
"15590",4,5,3,2,3,4,4,3,4,4,3,4
"15591",5,4,4,3,5,4,4,4,4,4,3,4
"15592",4,3,4,4,5,4,4,3,4,4,4,3
"15593",4,4,3,2,5,4,2,3,4,5,3,3
"15594",4,4,5,4,5,3,3,4,4,4,4,2
"15595",4,4,4,3,4,4,5,3,4,4,4,3
"15596",4,5,4,3,5,3,3,3,4,4,3,4
"15597",3,3,3,3,4,3,3,3,3,3,3,3
"15598",3,2,2,3,4,2,2,3,2,3,4,2
"15599",4,3,4,3,4,3,2,4,4,3,4,3
"15600",3,3,3,3,4,3,3,3,4,3,3,3
"15601",4,5,5,4,5,4,5,5,5,5,4,5
"15602",2,1,2,2,4,3,3,2,4,3,3,3
"15603",2,2,3,2,3,3,3,3,3,3,3,3
"15604",4,5,4,4,4,4,4,4,4,4,4,4
"15605",4,4,3,4,4,3,2,3,4,4,3,4
"15606",3,3,3,3,3,3,3,3,3,3,3,3
"15607",5,5,4,5,5,4,4,4,4,4,4,4
"15608",4,5,4,5,5,4,5,4,4,5,4,5
"15609",4,3,2,2,4,3,3,2,4,3,1,3
"15610",5,3,3,3,4,3,3,3,3,3,3,4
"15611",2,2,2,2,3,2,2,2,2,2,2,2
"15612",5,5,5,4,4,5,5,5,5,4,5,5
"15613",5,5,5,4,5,5,5,5,5,5,5,5
"15614",4,3,3,3,4,3,3,3,3,3,3,3
"15615",4,3,4,4,4,4,4,4,4,4,3,3
"15616",4,4,4,5,5,4,3,3,4,3,3,3
"15617",4,4,4,4,4,3,4,4,4,4,3,4
"15618",2,2,2,2,3,2,3,3,2,2,4,4
"15619",4,4,4,4,4,4,4,3,4,4,3,3
"15620",5,5,4,5,5,5,4,4,4,4,5,5
"15621",4,4,4,4,4,4,4,4,4,4,4,4
"15622",2,2,1,1,1,1,1,1,1,1,1,1
"15623",5,5,4,4,5,4,5,5,5,5,4,4
"15624",1,2,1,1,5,2,2,1,1,1,1,1
"15625",5,5,5,5,5,5,5,5,5,5,5,5
"15626",4,4,2,1,5,3,2,1,4,4,2,3
"15627",4,4,3,3,4,4,3,3,4,4,3,3
"15628",3,2,2,2,4,3,2,3,3,3,2,2
"15629",4,5,5,4,5,4,5,4,4,5,4,5
"15630",4,5,5,4,4,4,5,4,4,5,4,4
"15631",3,4,4,3,4,4,3,3,4,4,3,3
"15632",4,4,4,4,4,4,3,3,4,4,4,3
"15633",3,4,2,2,5,2,2,2,4,4,3,2
"15634",1,1,1,1,4,1,1,1,1,2,1,1
"15635",5,4,3,4,5,3,4,3,5,4,3,4
"15636",4,4,4,3,4,4,4,4,4,4,4,4
"15637",4,4,3,3,4,4,4,2,4,4,4,4
"15638",5,5,4,3,5,4,4,3,4,4,3,3
"15639",5,5,5,5,5,5,5,5,5,5,5,5
"15640",4,4,4,4,4,4,3,3,4,4,4,3
"15641",5,4,5,5,5,3,5,5,4,4,4,5
"15642",4,3,3,2,5,3,3,2,4,4,3,3
"15643",4,4,3,3,5,3,3,2,4,4,3,2
"15644",5,4,4,4,5,4,4,4,4,4,3,4
"15645",3,3,3,3,4,3,3,3,3,4,3,3
"15646",4,4,3,4,4,4,3,4,4,4,3,3
"15647",3,3,2,2,4,3,4,4,3,3,2,2
"15648",4,2,1,2,5,3,3,3,3,4,3,3
"15649",2,1,3,2,4,3,2,3,2,2,3,3
"15650",4,4,3,3,4,4,3,3,4,4,3,4
"15651",4,4,4,3,5,4,4,3,4,4,4,4
"15652",3,3,2,3,4,4,2,4,4,2,2,4
"15653",5,5,4,5,5,4,3,4,5,4,4,4
"15654",4,3,3,3,3,3,3,2,3,2,3,3
"15655",4,3,4,5,5,4,3,4,4,3,4,4
"15656",5,5,5,5,5,4,5,4,4,4,4,4
"15657",4,4,4,4,3,3,3,2,4,3,4,4
"15658",4,4,4,4,4,4,3,3,4,4,4,3
"15659",3,4,3,2,5,3,3,2,4,4,4,4
"15660",4,5,5,4,5,4,4,4,4,4,5,4
"15661",4,4,3,2,5,4,3,1,4,4,4,4
"15662",4,4,4,3,4,3,4,4,4,4,4,4
"15663",4,3,3,3,4,3,3,4,4,3,3,4
"15664",5,5,5,5,5,5,5,5,5,5,5,5
"15665",3,3,2,2,4,2,2,2,3,3,2,3
"15666",5,4,4,4,5,4,4,4,4,4,4,4
"15667",5,5,5,3,4,4,4,4,4,4,5,4
"15668",2,1,2,2,4,3,4,4,4,4,4,2
"15669",3,3,3,3,4,3,3,3,4,3,3,4
"15670",1,1,1,2,3,3,2,3,3,3,2,2
"15671",5,4,2,2,5,4,3,4,4,4,2,2
"15672",4,5,4,4,4,5,4,4,4,4,5,4
"15673",4,4,4,4,4,4,5,4,4,4,4,5
"15674",4,5,5,3,5,5,5,5,5,5,5,5
"15675",5,5,5,5,5,5,5,5,5,5,5,5
"15676",4,4,4,4,4,4,4,3,4,4,4,4
"15677",4,3,5,3,5,4,4,3,5,4,4,3
"15678",5,4,4,4,5,4,4,4,4,4,4,4
"15679",4,4,4,5,5,4,4,4,4,4,4,4
"15680",2,1,1,1,4,3,3,2,2,3,2,2
"15681",3,2,2,3,3,3,3,2,4,4,3,3
"15682",5,5,5,5,5,5,5,5,5,5,5,5
"15683",4,3,4,3,4,4,4,3,4,4,4,2
"15684",4,5,5,3,4,5,5,4,4,5,4,4
"15685",4,4,3,4,4,3,4,4,3,4,3,4
"15686",4,4,4,3,4,4,3,3,4,4,4,4
"15687",2,3,4,3,5,3,4,4,4,3,5,3
"15688",3,3,2,2,5,3,3,2,3,3,2,2
"15689",4,3,3,2,5,4,4,3,3,4,3,3
"15690",4,4,4,3,4,4,3,2,3,3,3,3
"15691",4,4,3,4,3,4,3,4,4,3,4,4
"15692",4,4,5,3,5,4,4,5,4,4,3,3
"15693",4,4,4,4,5,3,4,3,4,3,3,3
"15694",4,5,4,4,4,4,4,5,4,5,4,5
"15695",4,3,4,3,4,3,3,3,3,3,4,3
"15696",5,5,5,5,5,5,5,5,5,5,5,5
"15697",5,4,5,5,5,4,4,5,5,4,4,4
"15698",4,5,4,4,5,4,4,5,4,4,4,3
"15699",4,3,3,2,3,3,3,2,3,3,3,2
"15700",2,3,4,3,4,3,2,3,3,4,3,4
"15701",4,5,5,5,5,5,5,5,5,5,5,5
"15702",5,5,5,5,5,5,5,5,5,5,5,5
"15703",3,2,4,4,4,3,4,3,4,2,3,3
"15704",3,4,4,3,4,4,4,3,5,5,4,4
"15705",4,4,5,4,4,4,5,4,4,4,3,4
"15706",4,4,5,3,5,5,4,5,5,5,4,5
"15707",4,3,5,4,4,3,3,5,3,3,3,3
"15708",4,4,3,4,4,4,3,4,4,4,4,4
"15709",5,5,5,5,5,5,5,4,5,5,5,4
"15710",4,4,3,3,4,2,3,2,2,2,3,3
"15711",4,1,2,1,5,2,1,1,4,2,1,2
"15712",5,5,5,4,5,5,5,5,5,5,4,5
"15713",5,5,5,5,5,4,4,4,5,4,5,5
"15714",4,4,4,4,5,4,3,4,4,3,3,3
"15715",3,3,3,3,3,3,3,3,3,3,3,3
"15716",5,5,5,4,4,4,4,4,4,4,4,5
"15717",4,4,NA,2,5,3,2,2,4,3,3,2
"15718",4,4,4,3,4,3,4,3,4,4,4,4
"15719",4,4,3,4,4,4,3,4,4,4,5,4
"15720",5,4,3,3,5,3,3,2,3,4,3,4
"15721",4,5,4,4,4,5,4,4,4,4,5,4
"15722",4,4,3,4,5,4,3,3,5,4,3,4
"15723",4,4,2,3,3,2,3,2,4,4,3,3
"15724",4,3,3,3,3,3,3,3,3,3,3,3
"15725",5,5,5,4,5,5,5,4,5,5,5,5
"15726",4,3,4,4,5,4,3,3,4,4,4,4
"15727",4,4,4,3,4,4,4,4,4,4,3,4
"15728",5,5,4,4,5,5,4,4,5,5,NA,4
"15729",2,3,3,3,3,3,3,3,3,3,3,3
"15730",4,5,4,5,4,4,5,4,4,5,4,5
"15731",4,4,3,4,5,3,3,3,3,3,2,4
"15732",4,4,4,4,4,3,4,4,4,4,4,3
"15733",4,3,4,3,4,3,4,3,4,4,3,3
"15734",4,5,5,4,4,4,4,4,4,4,4,4
"15735",5,5,5,4,5,5,5,5,5,5,3,5
"15736",5,4,4,4,5,3,3,3,4,4,4,3
"15737",4,3,2,3,5,3,3,2,3,4,2,3
"15738",4,3,4,3,4,3,4,4,4,3,4,4
"15739",5,4,4,4,5,4,4,4,4,4,5,4
"15740",4,3,4,5,4,4,3,4,4,5,3,4
"15741",4,3,5,4,4,5,5,4,5,5,3,4
"15742",3,4,3,3,4,3,3,3,4,3,3,3
"15743",4,4,4,5,4,4,3,4,4,5,4,4
"15744",4,5,5,5,5,4,5,4,5,5,4,5
"15745",5,4,5,4,5,4,4,5,4,5,4,4
"15746",4,4,3,3,4,3,3,4,4,4,4,4
"15747",4,5,4,4,4,3,4,5,4,3,4,4
"15748",4,5,4,2,5,4,3,4,4,5,4,3
"15749",5,5,4,4,5,4,4,4,4,4,4,4
"15750",2,3,4,2,3,4,3,4,4,4,3,2
"15751",4,4,5,4,4,5,4,4,4,5,4,5
"15752",3,3,4,3,3,3,3,3,3,3,4,4
"15753",4,4,4,4,5,4,4,4,4,4,4,4
"15754",4,4,5,4,4,4,5,4,4,4,4,4
"15755",4,3,4,5,4,3,5,2,4,3,3,2
"15756",1,1,1,1,3,2,1,2,2,2,1,1
"15757",4,3,4,4,5,4,4,4,4,4,5,5
"15758",5,5,5,4,5,4,4,5,5,4,5,5
"15759",4,4,5,4,4,4,5,4,4,4,5,4
"15760",5,5,4,3,5,4,4,3,4,4,3,4
"15761",5,1,4,5,5,1,5,4,4,5,4,5
"15762",4,3,2,1,4,2,1,2,4,3,4,2
"15763",4,5,4,5,4,4,5,4,4,5,4,5
"15764",4,3,3,3,4,3,3,2,3,3,3,3
"15765",5,5,5,5,5,5,5,5,5,5,5,5
"15766",4,4,5,4,5,4,4,4,4,5,4,4
"15767",4,4,3,3,3,3,2,3,4,3,3,3
"15768",4,3,4,3,4,3,3,2,4,4,3,2
"15769",4,4,3,4,5,4,3,4,4,4,3,3
"15770",4,4,3,4,5,3,3,4,4,4,3,3
"15771",4,5,4,5,4,5,4,5,5,4,5,4
"15772",4,5,4,3,5,4,4,3,5,5,3,4
"15773",3,3,3,3,4,3,3,3,3,4,3,3
"15774",4,3,2,2,5,4,3,2,4,4,3,2
"15775",4,4,4,2,4,3,3,2,4,3,2,3
"15776",2,1,2,2,3,3,2,2,2,2,5,3
"15777",4,4,3,4,5,4,4,4,4,5,3,3
"15778",4,4,4,3,5,4,4,3,4,4,3,4
"15779",3,2,2,2,5,4,3,5,4,4,3,4
"15780",4,4,3,3,5,3,3,3,2,3,3,2
"15781",3,2,2,3,5,3,4,3,3,3,2,2
"15782",4,5,4,4,5,4,4,4,4,5,4,5
"15783",3,3,3,3,4,3,3,2,3,3,3,3
"15784",4,5,4,2,4,4,4,3,4,4,2,3
"15785",4,5,5,4,5,5,4,5,4,5,5,5
"15786",5,5,5,5,5,4,5,4,4,5,5,4
"15787",5,5,4,4,5,4,4,4,4,4,4,4
"15788",4,4,3,3,4,3,3,3,3,2,2,3
"15789",3,3,3,2,4,3,4,3,3,4,4,3
"15790",4,4,4,4,4,4,4,4,4,4,4,4
"15791",5,4,4,5,5,4,3,4,4,4,5,5
"15792",4,4,5,3,4,3,3,2,4,4,3,2
"15793",5,5,4,3,5,4,4,4,5,4,4,4
"15794",4,3,4,4,4,3,4,4,4,3,4,5
"15795",4,4,3,3,4,3,4,3,4,5,3,3
"15796",4,4,4,4,4,3,3,3,4,3,3,3
"15797",4,4,4,4,4,4,4,4,4,4,4,4
"15798",2,3,4,3,5,3,4,1,2,3,3,4
"15799",3,3,3,3,5,3,3,3,3,3,4,2
"15800",4,3,2,2,3,3,3,3,3,3,2,2
"15801",5,4,3,4,5,4,3,4,5,4,3,3
"15802",4,5,4,4,5,4,4,3,4,4,3,4
