"","TRUST_SCI_expert","TRUST_SCI_honest","TRUST_SCI_concerned","TRUST_SCI_open","TRUST_SCI_intellig","TRUST_SCI_ethical","TRUST_SCI_improve","TRUST_SCI_trans","TRUST_SCI_qualified","TRUST_SCI_sincere","TRUST_SCI_otherint","TRUST_SCI_otherviews"
"156",2,2,5,5,5,4,5,1,2,3,2,2
"157",2,3,1,3,5,5,5,2,5,3,4,3
"158",3,3,4,1,2,3,2,1,4,1,1,1
"159",3,3,3,2,4,3,4,3,4,3,3,3
"160",3,2,1,3,5,4,3,3,4,4,3,3
"161",2,3,3,3,4,4,4,3,5,3,3,3
"162",3,3,3,4,4,4,3,3,4,3,3,3
"163",4,3,3,4,4,3,4,4,4,3,3,2
"164",4,3,4,4,3,4,4,3,4,2,3,4
"165",3,3,3,4,4,3,3,4,4,4,3,4
"166",3,3,4,2,4,4,3,2,4,3,2,4
"167",3,2,1,1,5,5,3,2,5,2,2,2
"168",3,3,2,3,4,4,4,3,4,3,4,3
"169",1,2,1,1,3,2,3,3,3,3,3,3
"170",2,2,3,3,4,3,3,3,2,3,3,3
"171",2,2,2,2,4,4,4,2,2,2,4,2
"172",4,4,4,4,5,5,5,5,5,4,4,4
"173",4,4,3,4,5,4,4,3,5,4,3,3
"174",3,3,4,3,4,4,4,3,4,3,4,4
"175",4,4,4,5,5,5,5,4,5,3,4,4
"176",4,4,5,5,5,4,5,5,5,5,5,5
"177",3,3,2,4,5,5,4,3,5,2,2,4
"178",5,5,4,3,4,4,4,4,4,5,4,5
"179",3,3,3,3,4,4,3,3,4,3,2,3
"180",4,3,5,1,4,2,4,3,5,5,2,3
"181",2,2,2,1,1,2,1,1,1,2,3,2
"182",3,3,3,3,4,4,4,4,4,3,3,4
"183",3,3,3,3,4,4,4,3,4,3,3,3
"184",3,3,3,2,4,4,3,2,5,2,1,1
"185",3,3,3,3,4,4,4,2,4,3,4,3
"186",1,1,1,1,1,1,1,1,1,1,1,1
"187",4,3,4,5,5,4,5,1,4,4,5,4
"188",4,3,3,2,4,4,4,4,5,4,4,4
"189",3,3,3,4,5,4,4,3,4,4,4,4
"190",3,3,3,3,4,3,3,3,4,3,3,3
"191",3,4,1,2,4,3,2,1,2,4,1,2
"192",3,3,3,2,4,3,3,2,2,3,2,2
"193",3,3,3,2,4,3,3,2,3,3,3,3
"194",3,3,3,2,4,4,4,2,3,3,2,4
"195",3,4,3,4,4,4,4,4,4,4,4,4
"196",3,2,1,2,4,3,2,1,4,2,1,2
"197",3,3,4,2,2,3,2,5,2,4,2,4
"198",3,3,3,3,4,4,4,4,4,4,4,4
"199",3,2,3,3,3,3,4,2,3,2,2,2
"200",4,3,4,4,5,4,4,3,4,3,4,4
"201",2,3,2,3,2,3,3,2,2,2,3,2
"202",2,2,2,2,4,3,4,3,3,3,3,3
"203",3,2,3,2,4,3,2,2,3,3,2,2
"204",4,4,4,4,4,4,4,3,4,4,4,4
"205",2,2,2,2,4,4,4,4,3,3,3,3
"206",3,3,3,3,4,4,4,3,4,3,3,3
"207",3,1,2,2,3,2,2,1,3,1,1,1
"208",3,4,3,3,4,4,3,2,4,3,3,3
"209",1,3,1,3,5,4,4,4,3,3,3,2
"210",1,1,2,2,4,1,1,1,4,1,1,1
"211",3,3,4,2,4,5,4,4,4,4,3,2
"212",3,4,3,3,4,4,4,4,4,3,4,3
"213",3,4,3,3,3,3,2,2,3,3,2,2
"214",3,2,3,2,3,2,3,4,2,2,3,3
"215",3,3,3,3,4,4,4,4,4,4,3,4
"216",4,3,4,3,4,3,3,3,4,3,3,3
"217",3,2,2,1,3,2,2,1,3,3,2,2
"218",3,2,3,3,4,4,3,2,3,2,3,4
"219",3,3,2,3,4,3,3,3,4,3,2,2
"220",3,2,2,1,4,4,3,2,3,2,2,2
"221",3,3,2,4,3,2,2,3,3,3,3,3
"222",4,3,3,3,4,3,3,2,4,2,2,3
"223",3,1,1,2,3,2,1,1,2,1,1,2
"224",3,3,2,3,4,3,3,2,4,3,3,2
"225",3,2,3,3,4,4,3,3,5,3,3,4
"226",2,3,3,4,4,4,4,3,3,4,4,4
"227",4,4,3,3,4,4,4,4,4,4,3,3
"228",2,3,3,3,3,4,3,3,3,2,3,3
"229",3,1,1,3,5,2,1,3,3,2,1,3
"230",3,3,4,4,4,3,4,4,5,4,3,3
"231",2,3,2,4,4,4,4,3,4,3,3,2
"232",1,3,1,2,3,2,3,2,2,2,2,2
"233",3,2,2,1,4,3,4,3,4,3,3,2
"234",4,3,2,2,4,4,3,3,4,5,4,3
"235",4,3,1,1,5,4,3,5,5,4,3,2
"236",1,3,2,4,5,4,2,3,5,3,3,3
"237",3,3,3,2,4,4,4,4,3,3,3,2
"238",3,4,5,5,5,5,5,5,5,5,5,5
"239",4,4,3,4,5,4,3,3,5,3,3,4
"240",3,3,2,3,5,3,3,3,5,3,3,3
"241",3,3,3,3,4,4,3,2,3,2,3,3
"242",2,2,2,2,4,3,3,3,3,3,3,3
"243",3,3,3,3,3,4,4,5,4,3,3,1
"244",4,3,4,4,4,4,3,3,4,3,3,4
"245",2,2,2,3,4,3,3,2,4,3,2,4
"246",3,3,3,4,5,4,3,5,5,4,3,3
"247",3,3,3,3,4,3,4,4,4,3,3,3
"248",5,4,4,5,5,5,4,3,3,3,5,5
"249",2,3,3,2,3,2,3,2,4,3,3,2
"250",3,3,3,3,4,4,3,3,4,3,3,3
"251",3,4,3,3,4,4,3,3,4,3,3,3
"252",4,4,3,4,5,5,4,5,5,4,3,2
"253",1,1,1,1,2,1,1,1,1,1,1,1
"254",1,1,1,2,3,3,2,3,4,2,2,2
"255",2,2,1,3,2,4,4,1,4,1,2,2
"256",2,3,4,1,3,4,5,1,5,2,4,2
"257",1,2,1,2,4,4,3,2,4,3,4,4
"258",2,4,2,3,4,4,5,4,4,5,5,4
"259",3,4,4,4,5,4,4,4,5,4,4,4
"260",3,2,3,3,4,3,4,2,4,2,3,2
